epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,799.205,0.65979,0.46189,1.04258,0.97609,0.95506,0.98633,0.80993,0.77626,0.42843,1.19202,0.0008714,0.0008714,0.0008714
59,811.788,0.65872,0.44087,1.04063,0.96508,0.98876,0.99235,0.81644,0.74829,0.4178,1.16665,0.0008516,0.0008516,0.0008516
60,824.408,0.6575,0.45118,1.03409,0.96643,0.9704,0.98936,0.82473,0.72618,0.41648,1.14671,0.0008318,0.0008318,0.0008318
61,837.095,0.65146,0.43131,1.02678,0.98889,0.99966,0.99233,0.84046,0.6986,0.37212,1.11622,0.000812,0.000812,0.000812
62,849.893,0.63585,0.42675,1.02431,0.97743,1,0.99333,0.81133,0.752,0.38139,1.19359,0.0007922,0.0007922,0.0007922
63,862.604,0.64978,0.43184,1.04039,0.9833,1,0.99256,0.81388,0.76488,0.4043,1.24494,0.0007724,0.0007724,0.0007724
64,875.316,0.62589,0.42003,1.01601,0.98887,0.99809,0.99233,0.8332,0.7036,0.38571,1.1382,0.0007526,0.0007526,0.0007526
65,887.957,0.61958,0.4241,1.00844,0.96721,0.99446,0.99308,0.81235,0.71915,0.39364,1.16588,0.0007328,0.0007328,0.0007328
66,900.613,0.62533,0.43674,1.02135,0.98803,0.98876,0.99006,0.80294,0.70385,0.37603,1.15248,0.000713,0.000713,0.000713
67,912.998,0.59936,0.42945,1.01118,0.94574,1,0.99092,0.83378,0.72101,0.38737,1.15346,0.0006932,0.0006932,0.0006932
68,925.449,0.61421,0.41706,1.0112,0.9767,1,0.98505,0.82353,0.74345,0.38293,1.19627,0.0006734,0.0006734,0.0006734
69,937.571,0.59839,0.41119,1.01263,0.98557,1,0.98756,0.82735,0.70526,0.37079,1.12317,0.0006536,0.0006536,0.0006536
70,949.746,0.5678,0.38927,0.99633,0.97683,1,0.98125,0.82142,0.69271,0.38027,1.14152,0.0006338,0.0006338,0.0006338
71,961.856,0.56373,0.39528,0.99571,0.97336,1,0.98856,0.83014,0.7194,0.37725,1.18407,0.000614,0.000614,0.000614
